Bennett’s S,Brute Agreement,AC1,Cohen's Kappa,Agreements,Total,Annotator1,Annotator2
0.423076923076923,0.4807692307692308,0.4263534218590399,0.3992297817715019,25,52,AV00440,AV45040
0.5000000000000001,0.55,0.5034229079391029,0.4792671166827387,33,60,AV00440,AU90360
0.3212765957446808,0.3829787234042553,0.32539780741913926,0.29414810978767475,18,47,AU90360,AV45040
